Èas;Ime;Datum;Kraj prvenstva
1:00.13;Kornelia Ender;June 4, 1976;East Berlin, East Germany
1:01.24;Kornelia Ender;July 24, 1975;Cali, Colombia
1:01.33;Kornelia Ender;June 9, 1975;Wittenberg, East Germany
1:01.88;Rosemarie Kother;September 1, 1974;Concord, United States
1:01.99;Rosemarie Kother;August 22, 1974;Vienna, Austria
1:02.09;Rosemarie Kother;August 21, 1974;Vienna, Austria
1:02.31;Kornelia Ender;July 14, 1973;East Berlin, East Germany
1:03.05;Kornelia Ender;April 14, 1973;East Berlin, East Germany
1:03.34;Mayumi Aoki;September 1, 1972;Munich, West Germany
1:03.80;Andrea Gyarmati;August 31, 1972;Munich, West Germany
1:03.9;Mayumi Aoki;July 21, 1972;Tokyo, Japan
1:04.1;Alice Jones;August 20, 1970;Los Angeles, United States
1:04.5;Ada Kok;August 14, 1965;Budapest, Hungary
1:04.7;Sharon Stouder;October 16, 1964;Tokyo, Japan
1:05.1;Ada Kok;May 30, 1964;Blackpool, United Kingdom
1:06.1;Ada Kok;September 1, 1963;Soestduinen, Netherlands
1:06.5;Kathy Ellis;August 16, 1963;High Point, United States
1:07.3;Mary Stewart;July 28, 1962;Vancouver, Canada
1:08.2;Susan Doerr;August 12, 1961;Philadelphia, United States
1:08.8;Mary Stewart;August 12, 1961;Philadelphia, United States
1:08.9;Janice Andrew;April 2, 1961;Tokyo, Japan
1:09.1;Nancy Ramey;September 2, 1959;Chicago, United States
1:09.6;Nancy Ramey;June 28, 1958;Los Angeles, United States
1:10.5;Atie Voorbij;August 4, 1957;Rhenen, Netherlands
55.98;Dana Vollmer;July 29, 2012;London, United Kingdom
56.06;Sarah Sjöström;July 27, 2009;Rome, Italy
56.44;Sarah Sjöström;July 26, 2009;Rome, Italy
56.61;Inge de Bruijn;September 17, 2000;Sydney, Australia
56.64;Inge de Bruijn;July 22, 2000;Federal Way, United States
56.69;Inge de Bruijn;May 27, 2000;Sheffield, United Kingdom
57.88;Jenny Thompson;August 23, 1999;Sydney, Australia
57.93;Mary T. Meagher;August 16, 1981;Brown Deer, United States
59.26;Mary T. Meagher;April 11, 1980;Austin, United States
59.46;Andrea Pollack;July 3, 1978;East Berlin, East Germany
59.78;Christiane Knacke;August 28, 1977;East Berlin, East Germany
