Èas;Ime;Datum;Prevnstvo;Kraj prvenstva
1:07.7;Cathy Ferguson;October 14, 1964;Olympic Games;Tokyo, Japan
1:07.4;Ann Farlie;July 23, 1966;;Béziers, France
1:07.3;Elaine Tanner;July 27, 1967;;Winnipeg, Canada
1:07.1;Elaine Tanner;July 30, 1967;;Winnipeg, Canada
1:06.7;Karen Muir;January 30, 1968;;Kimberley, South Africa
1:06.4;Karen Muir;April 6, 1968;;Paris, France
1:06.2;Kaye Hall;October 23, 1968;Olympic Games;Mexico City, Mexico
1:05.6;Karen Muir;July 6, 1969;;Utrecht, Netherlands
1:05.39;Ulrike Richter;August 18, 1973;;Utrecht, Netherlands
1:04.99r;Ulrike Richter;September 4, 1973;World Championships;Belgrade, Yugoslavia
1:04.78;Wendy Cook;January 31, 1974;;Christchurch, New Zealand
1:04.43;Ulrike Richter;July 8, 1974;;Rostock, East Germany
1:04.09;Ulrike Richter;August 22, 1974;;Vienna, Austria
1:03.30;Ulrike Richter;August 23, 1974;;Vienna, Austria
1:02.98;Ulrike Richter;September 1, 1974;;Concord, California, USA
1:02.60;Ulrike Richter;March 14, 1976;;Tallinn, USSR
1:01.62;Kornelia Ender;June 3, 1976;;Berlin, East Germany
1:01.51;Ulrike Richter;June 5, 1976;;Berlin, East Germany
1:01.51e;Rica Reinisch;July 20, 1980;Olympic Games;Moscow, USSR
1:01.50;Rica Reinisch;July 22, 1980;Olympic Games;Moscow, USSR
1:00.86;Rica Reinisch;July 23, 1980;Olympic Games;Moscow, USSR
1:00.59r;Ina Kleber;August 24, 1984;Friendship Games;Moscow, USSR
1:00.31;Krisztina Egerszegi;August 22, 1991;European Championships;Athens, Greece
1:00.16r;He Cihong;September 10, 1994;World Championships;Rome, Italy
59.58;Natalie Coughlin;August 13, 2002;U.S. National Swimming Championships;Fort Lauderdale, Florida, USA
59.44;Natalie Coughlin;March 27, 2007;World Championships;Melbourne, Australia
59.21;Natalie Coughlin;February 17, 2008;Missouri Grand Prix;Columbia, Missouri, United States
59.15;Hayley McGregory;June 30, 2008;USA Olympic Trials;Omaha, Nebraska, United States
59.03;Natalie Coughlin;June 30, 2008;USA Olympic Trials;Omaha, Nebraska, United States
58.97;Natalie Coughlin;July 1, 2008;USA Olympic Trials;Omaha, Nebraska, United States
58.77;Kirsty Coventry;August 11, 2008;Olympic Games;Beijing, China
58.48;Anastasia Zuyeva;July 27, 2009;World Championships;Rome, Italy
58.12;Gemma Spofforth;July 28, 2009;World Championships;Rome, Italy
